COUNTY,ROUTE,SEGMENT,DATA_YEAR,TOTAL_CRASH,FATAL,FATAL_MAJ,INJURY,FATAL_INJ,PDO,LENGTH_MI_YR,LENGTH_FT_YR,AADT,BEG_MP,END_MP,TravelWayWidth,LANES,SPEED,LeftShldPave,RtshldPave,COUNTY_NAME,RHR,PASS_ZONE,CL_RS,SH_RS,ACCESS_PTS,NO_INTS,NO_CURVES,AVG_D,AccessDensity
3,28,360,2012,3,0,0,1,1,2,0.357575758,1888,5789,15.88996212,16.24753788,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,7,0,0,0,19.57627119
3,28,370,2005,0,0,0,0,0,0,0.474621212,2506,6732,16.24753788,16.72215909,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,6,0,0,0,12.64166002
3,28,370,2006,1,0,0,0,0,1,0.474621212,2506,6833,16.24753788,16.72215909,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,6,0,0,0,12.64166002
3,28,370,2007,0,0,0,0,0,0,0.474621212,2506,6892,16.24753788,16.72215909,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,6,0,0,0,12.64166002
3,28,370,2008,1,0,0,1,1,0,0.474621212,2506,5789,16.24753788,16.72215909,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,6,0,0,0,12.64166002
3,28,370,2009,0,0,0,0,0,0,0.474621212,2506,5789,16.24753788,16.72215909,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,6,0,0,0,12.64166002
3,28,370,2010,0,0,0,0,0,0,0.474621212,2506,5789,16.24753788,16.72215909,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,6,0,0,0,12.64166002
3,28,370,2011,4,0,1,1,1,3,0.474621212,2506,5789,16.24753788,16.72215909,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,6,0,0,0,12.64166002
3,28,370,2012,1,0,0,0,0,1,0.474621212,2506,5789,16.24753788,16.72215909,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,6,0,0,0,12.64166002
3,28,380,2005,1,0,0,0,0,1,0.489583333,2585,6377,16.72215909,17.21174242,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,4,1,0,0,8.170212766
3,28,380,2006,0,0,0,0,0,0,0.489583333,2585,6377,16.72215909,17.21174242,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,4,1,0,0,8.170212766
3,28,380,2007,0,0,0,0,0,0,0.489583333,2585,6432,16.72215909,17.21174242,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,4,1,0,0,8.170212766
3,28,380,2008,0,0,0,0,0,0,0.489583333,2585,5795,16.72215909,17.21174242,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,4,1,0,0,8.170212766
3,28,380,2009,0,0,0,0,0,0,0.489583333,2585,5795,16.72215909,17.21174242,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,4,1,0,0,8.170212766
3,28,380,2010,2,0,0,1,1,1,0.489583333,2585,5795,16.72215909,17.21174242,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,4,1,0,0,8.170212766
3,28,380,2011,1,0,0,1,1,0,0.489583333,2585,5795,16.72215909,17.21174242,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,4,1,0,0,8.170212766
3,28,380,2012,1,0,0,1,1,0,0.489583333,2585,5795,16.72215909,17.21174242,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,4,1,0,0,8.170212766
3,28,390,2005,0,0,0,0,0,0,0.373106061,1970,6377,17.21174242,17.58484848,22,2,55,2,2,ARMSTRONG     ,4,0,1,0,4,0,1,5.094217832,10.72081218
3,28,390,2006,1,0,0,0,0,1,0.373106061,1970,6377,17.21174242,17.58484848,22,2,55,2,2,ARMSTRONG     ,4,0,1,0,4,0,1,5.094217832,10.72081218
3,28,390,2007,1,0,0,0,0,1,0.373106061,1970,6432,17.21174242,17.58484848,22,2,55,2,2,ARMSTRONG     ,4,0,1,0,4,0,1,5.094217832,10.72081218
